city_name,address,lat,lng
Colma,"Colma, CA, USA",37.6749036,-122.45615329999998
Colton,"Colton, CA, USA",34.0739016,-117.31365470000001
Colusa,"Colusa, CA 95932, USA",39.2143343,-122.0094175
Commerce,"Commerce, CA, USA",34.0005691,-118.1597929
Compton,"Compton, CA, USA",33.8959097,-118.22439010000001
Concord,"Concord, CA, USA",37.9817195,-122.02590400000001
Corcoran,"Corcoran, CA 93212, USA",36.098006999999996,-119.56040149999998
Corning,"Corning, CA 96021, USA",39.9276572,-122.17915560000002
Corona,"Corona, CA, USA",33.878774199999995,-117.5760323
Coronado,"Coronado, CA, USA",32.685901199999996,-117.17986030000002
Corte Madera,"Corte Madera, CA, USA",37.9254806,-122.5274755
Costa Mesa,"Costa Mesa, CA, USA",33.663843899999996,-117.9047429
Cotati,"Cotati, CA 94931, USA",38.3293416,-122.70966659999999
Covina,"Covina, CA, USA",34.090009099999996,-117.8903397
Crescent City,"Crescent City, CA, USA",41.7557501,-124.2025913
Cudahy,"Cudahy, CA 90201, USA",33.9608646,-118.18578579999999
Culver City,"Culver City, CA, USA",34.0211416,-118.39680010000001
Cupertino,"Cupertino, CA, USA",37.322997799999996,-122.03218229999999
Cypress,"Cypress, CA, USA",33.8169366,-118.03685069999999
Daly City,"Daly City, CA, USA",37.6879241,-122.4702079
Dana Point,"Dana Point, CA, USA",33.4672256,-117.6981014
Danville,"Danville, CA, USA",37.8215929,-121.9999606
Davis,"Davis, CA, USA",38.5449065,-121.7405167
Del Mar,"Del Mar, CA 92014, USA",32.9594891,-117.2653146
Del Rey Oaks,"Del Rey Oaks, CA 93940, USA",36.5932934,-121.8349515
Delano,"Delano, CA, USA",35.7688425,-119.2470536
Desert Hot Springs,"Desert Hot Springs, CA, USA",33.9615186,-116.50137930000001
Diamond Bar,"Diamond Bar, CA, USA",34.0009951,-117.8112041
Dinuba,"Dinuba, CA, USA",36.5432837,-119.38706560000001
Dixon,"Dixon, CA 95620, USA",38.445464099999995,-121.82329579999998
Dorris,"Dorris, CA 96023, USA",41.9673696,-121.91805999999998
Dos Palos,"Dos Palos, CA 93620, USA",36.986058199999995,-120.62657220000001
Downey,"Downey, CA, USA",33.9401088,-118.1331593
Duarte,"Duarte, CA 91010, USA",34.1394513,-117.9772873
Dublin,"Dublin, CA 94568, USA",37.70491080000001,-121.90961580000001
Dunsmuir,"Dunsmuir, CA, USA",41.208208899999995,-122.27195289999999
East Palo Alto,"East Palo Alto, CA, USA",37.4688273,-122.14107509999998
Eastvale,"Eastvale, CA, USA",33.9672152,-117.56705099999998
El Cajon,"El Cajon, CA, USA",32.7947731,-116.9625269
El Centro,"El Centro, CA, USA",32.792,-115.56305139999998
El Cerrito,"El Cerrito, CA 94530, USA",37.9161326,-122.310765
El Monte,"El Monte, CA, USA",34.072686499999996,-118.0322819
El Segundo,"El Segundo, CA, USA",33.9191799,-118.4164652
Elk Grove,"Elk Grove, CA, USA",38.4089538,-121.37886350000001
Emeryville,"Emeryville, CA, USA",37.8395028,-122.2892278
Encinitas,"Encinitas, CA, USA",33.0369867,-117.29198179999999
Escalon,"Escalon, CA 95320, USA",37.797427299999995,-120.9966033
Escondido,"Escondido, CA, USA",33.1192068,-117.08642100000002
Etna,"Etna, CA 96027, USA",41.4568065,-122.89475510000001
Eureka,"Eureka, CA, USA",40.8020712,-124.16367290000001
Exeter,"Exeter, CA 93221, USA",36.2960613,-119.1420517
Fairfax,"Fairfax, CA, USA",37.987145399999996,-122.5888686
Fairfield,"Fairfield, CA, USA",38.2491956,-122.0405151
Farmersville,"Farmersville, CA, USA",36.297728299999996,-119.2067767
Ferndale,"Ferndale, CA 95536, USA",40.5762406,-124.2639442
Fillmore,"Fillmore, CA 93015, USA",34.3991639,-118.91815400000002
Firebaugh,"Firebaugh, CA, USA",36.8588376,-120.4560072
Folsom,"Folsom, CA, USA",38.6719495,-121.16129449999998
Fontana,"Fontana, CA, USA",34.0922335,-117.43504800000001
Fort Bragg,"Fort Bragg, CA 95437, USA",39.445723,-123.80529349999999
Fort Jones,"Fort Jones, CA 96032, USA",41.607638699999995,-122.8403099
Fortuna,"Fortuna, CA 95540, USA",40.5981867,-124.15727559999999
Foster City,"Foster City, CA, USA",37.5585465,-122.2710788
Fountain Valley,"Fountain Valley, CA 92708, USA",33.709021199999995,-117.9544069
Fowler,"Fowler, CA 93625, USA",36.6305058,-119.6784697
Fremont,"Fremont, CA, USA",37.5485396,-121.98858299999999
Fresno,"Fresno, CA, USA",36.7377981,-119.78712469999999
Fullerton,"Fullerton, CA, USA",33.8703645,-117.9242123
Galt,"Galt, CA 95632, USA",38.2548197,-121.30064920000001
Garden Grove,"Garden Grove, CA, USA",33.7742692,-117.9379952
Gardena,"Gardena, CA, USA",33.8837294,-118.30911850000001
Gilroy,"Gilroy, CA 95020, USA",37.0029828,-121.5566373
Glendale,"Glendale, CA, USA",34.146367399999995,-118.24887030000001
Glendora,"Glendora, CA, USA",34.1361187,-117.86533899999999
Goleta,"Goleta, CA, USA",34.435829399999996,-119.82763890000001
Gonzales,"Gonzales, CA, USA",36.506629499999995,-121.44438059999999
Grand Terrace,"Grand Terrace, CA, USA",34.033903099999996,-117.31365439999999
Grass Valley,"Grass Valley, CA, USA",39.2190608,-121.06106059999998
Greenfield,"Greenfield, CA, USA",36.320799799999996,-121.24381380000001
Gridley,"Gridley, CA 95948, USA",39.3637773,-121.6935833
Grover Beach,"Grover Beach, CA, USA",35.1216424,-120.62128209999999
Guadalupe,"Guadalupe, CA 93434, USA",34.971644,-120.5718363
Gustine,"Gustine, CA 95322, USA",37.2577171,-120.9988154
Half Moon Bay,"Half Moon Bay, CA 94019, USA",37.4635519,-122.4285862
Hanford,"Hanford, CA 93230, USA",36.3274502,-119.6456844
Hawaiian Gardens,"Hawaiian Gardens, CA, USA",33.8314045,-118.07284239999998
Hawthorne,"Hawthorne, CA, USA",33.9164032,-118.3525748
Hayward,"Hayward, CA, USA",37.6687665,-122.0809964
Healdsburg,"Healdsburg, CA 95448, USA",38.6081693,-122.8700509
Hemet,"Hemet, CA, USA",33.7475203,-116.9719684
Hercules,"Hercules, CA, USA",38.017144099999996,-122.28858079999999
Hermosa Beach,"Hermosa Beach, CA, USA",33.862236599999996,-118.39951939999999
Hesperia,"Hesperia, CA, USA",34.4237122,-117.31560499999998
