"city_name","type","county","pop_2020","pop_2010","area_mi2","county_seat","incorporation_date","google_lat","google_lng"
"Colton","City","San Bernardino",53909,52154,15.55,FALSE,"July 11, 1887",34.0739016,-117.3136547
"Colusa","City","Colusa",6411,5971,3.42,TRUE,"June 16, 1868",39.2143343,-122.0094175
"Commerce","City","Los Angeles",12378,12823,6.53,FALSE,"January 28, 1960",34.0005691,-118.1597929
"Compton","City","Los Angeles",95740,96455,10.03,FALSE,"May 11, 1888",33.8959097,-118.2243901
"Concord","City","Contra Costa",125410,122067,30.55,FALSE,"February 9, 1905",37.9817195,-122.025904
"Corcoran","City","Kings",22339,24813,7.46,FALSE,"August 11, 1914",36.098007,-119.5604015
"Corning","City","Tehama",8244,7663,3.55,FALSE,"August 6, 1907",39.9276572,-122.1791556
"Corona","City","Riverside",157136,152374,39.94,FALSE,"July 13, 1896",33.8787742,-117.5760323
"Coronado","City","San Diego",20192,18912,7.81,FALSE,"December 11, 1890",32.6859012,-117.1798603
"Corte Madera","Town","Marin",10222,9253,3.16,FALSE,"June 10, 1916",37.9254806,-122.5274755
"Costa Mesa","City","Orange",111918,109960,15.81,FALSE,"June 29, 1953",33.6638439,-117.9047429
"Cotati","City","Sonoma",7584,7265,1.87,FALSE,"July 16, 1963",38.3293416,-122.7096666
"Covina","City","Los Angeles",51268,47796,7.04,FALSE,"August 14, 1901",34.0900091,-117.8903397
"Crescent City","City","Del Norte",6673,7643,1.96,TRUE,"April 13, 1854",41.7557501,-124.2025913
"Cudahy","City","Los Angeles",22811,23805,1.18,FALSE,"November 10, 1960",33.9608646,-118.1857858
"Culver City","City","Los Angeles",40779,38883,5.11,FALSE,"September 7, 1917",34.0211416,-118.3968001
"Cupertino","City","Santa Clara",60381,58302,11.33,FALSE,"October 10, 1955",37.3229978,-122.0321823
"Cypress","City","Orange",50151,47802,6.61,FALSE,"July 24, 1956",33.8169366,-118.0368507
"Daly City","City","San Mateo",104901,101123,7.64,FALSE,"March 22, 1911",37.6879241,-122.4702079
"Dana Point","City","Orange",33107,33351,6.49,FALSE,"January 1, 1989",33.4672256,-117.6981014
"Danville","Town","Contra Costa",43582,42039,18.08,FALSE,"July 1, 1982",37.8215929,-121.9999606
"Davis","City","Yolo",66850,65622,9.97,FALSE,"March 28, 1917",38.5449065,-121.7405167
"Del Mar","City","San Diego",3954,4161,1.72,FALSE,"July 15, 1959",32.9594891,-117.2653146
"Del Rey Oaks","City","Monterey",1592,1624,1.05,FALSE,"September 3, 1953",36.5932934,-121.8349515
"Delano","City","Kern",51428,53041,14.72,FALSE,"April 13, 1915",35.7688425,-119.2470536
"Desert Hot Springs","City","Riverside",32512,25938,30.27,FALSE,"September 25, 1963",33.9615186,-116.5013793
"Diamond Bar","City","Los Angeles",55072,55544,14.87,FALSE,"April 18, 1989",34.0009951,-117.8112041
"Dinuba","City","Tulare",24563,21453,6.51,FALSE,"January 6, 1906",36.5432837,-119.3870656
"Dixon","City","Solano",18988,18351,7.1,FALSE,"March 30, 1878",38.4454641,-121.8232958
"Dorris","City","Siskiyou",860,939,0.7,FALSE,"December 23, 1908",41.9673696,-121.91806
"Dos Palos","City","Merced",5798,4950,1.35,FALSE,"May 24, 1935",36.9860582,-120.6265722
"Downey","City","Los Angeles",114355,111772,12.41,FALSE,"December 17, 1956",33.9401088,-118.1331593
"Duarte","City","Los Angeles",21727,21321,6.71,FALSE,"August 22, 1957",34.1394513,-117.9772873
"Dublin","City","Alameda",72589,46036,15.23,FALSE,"February 1, 1982",37.7049108,-121.9096158
"Dunsmuir","City","Siskiyou",1707,1650,1.6,FALSE,"August 7, 1909",41.2082089,-122.2719529
"East Palo Alto","City","San Mateo",30034,28155,2.53,FALSE,"July 1, 1983",37.4688273,-122.1410751
"Eastvale","City","Riverside[11]",69757,53670,12.67,FALSE,"October 1, 2010",33.9672152,-117.567051
"El Cajon","City","San Diego",106215,99478,14.51,FALSE,"November 12, 1912",32.7947731,-116.9625269
"El Centro","City","Imperial",44322,42598,11.84,TRUE,"April 16, 1908",32.792,-115.5630514
"El Cerrito","City","Contra Costa",25962,23549,3.67,FALSE,"August 23, 1917",37.9161326,-122.310765
"El Monte","City","Los Angeles",109450,113475,9.56,FALSE,"November 18, 1912",34.0726865,-118.0322819
"El Segundo","City","Los Angeles",17272,16654,5.46,FALSE,"January 18, 1917",33.9191799,-118.4164652
"Elk Grove","City","Sacramento",176124,153015,41.99,FALSE,"July 1, 2000",38.4089538,-121.3788635
"Emeryville","City","Alameda",12905,10080,1.27,FALSE,"December 8, 1896",37.8395028,-122.2892278
"Encinitas","City","San Diego",62007,59518,19.06,FALSE,"October 1, 1986",33.0369867,-117.2919818
"Escalon","City","San Joaquin",7472,7132,2.28,FALSE,"March 12, 1957",37.7974273,-120.9966033
"Escondido","City","San Diego",151038,143911,37.35,FALSE,"October 8, 1888",33.1192068,-117.086421
"Etna","City","Siskiyou",678,737,0.76,FALSE,"March 13, 1878",41.4568065,-122.8947551
"Eureka","City","Humboldt",26512,27191,9.54,TRUE,"April 18, 1856",40.8020712,-124.1636729
"Exeter","City","Tulare",10321,10334,2.46,FALSE,"March 2, 1911",36.2960613,-119.1420517
"Fairfax","Town","Marin",7605,7441,2.23,FALSE,"March 2, 1931",37.9871454,-122.5888686
"Fairfield","City","Solano",119881,105321,41.59,TRUE,"December 12, 1903",38.2491956,-122.0405151
"Farmersville","City","Tulare",10397,10588,2.2,FALSE,"October 5, 1960",36.2977283,-119.2067767
"Ferndale","City","Humboldt",1398,1371,1.2,FALSE,"August 28, 1893",40.5762406,-124.2639442
"Fillmore","City","Ventura",16419,15002,3.3,FALSE,"July 10, 1914",34.3991639,-118.918154
"Firebaugh","City","Fresno",8096,7549,3.52,FALSE,"September 17, 1914",36.8588376,-120.4560072
"Folsom","City","Sacramento",80454,72203,27.88,FALSE,"April 20, 1946",38.6719495,-121.1612945
"Fontana","City","San Bernardino",208393,196069,43.07,FALSE,"June 25, 1952",34.0922335,-117.435048
"Fort Bragg","City","Mendocino",6983,7273,2.9,FALSE,"August 5, 1889",39.445723,-123.8052935
"Fort Jones","City","Siskiyou",695,839,0.6,FALSE,"March 16, 1872",41.6076387,-122.8403099
"Fortuna","City","Humboldt",12516,11926,5.25,FALSE,"January 20, 1906",40.5981867,-124.1572756
"Foster City","City","San Mateo",33805,30567,3.79,FALSE,"April 27, 1971",37.5585465,-122.2710788
"Fountain Valley","City","Orange",57047,55313,9.07,FALSE,"June 13, 1957",33.7090212,-117.9544069
"Fowler","City","Fresno",6700,5570,2.53,FALSE,"June 15, 1908",36.6305058,-119.6784697
"Fremont","City","Alameda",230504,214089,78.31,FALSE,"January 23, 1956",37.5485396,-121.988583
"Fresno","City","Fresno",542107,494665,115.18,TRUE,"October 12, 1885",36.7377981,-119.7871247
"Fullerton","City","Orange",143617,135161,22.42,FALSE,"February 15, 1904",33.8703645,-117.9242123
"Galt","City","Sacramento",25383,23647,7.15,FALSE,"August 16, 1946",38.2548197,-121.3006492
"Garden Grove","City","Orange",171949,170883,17.96,FALSE,"June 18, 1956",33.7742692,-117.9379952
"Gardena","City","Los Angeles",61027,58829,5.83,FALSE,"September 11, 1930",33.8837294,-118.3091185
"Gilroy","City","Santa Clara",59520,48821,16.54,FALSE,"March 12, 1870",37.0029828,-121.5566373
"Glendale","City","Los Angeles",196543,191719,30.48,FALSE,"February 15, 1906",34.1463674,-118.2488703
"Glendora","City","Los Angeles",52558,50073,19.51,FALSE,"November 13, 1911",34.1361187,-117.865339
"Goleta","City","Santa Barbara",32690,29888,7.85,FALSE,"February 1, 2002",34.4358294,-119.8276389
"Gonzales","City","Monterey",8647,8187,1.91,FALSE,"January 14, 1947",36.5066295,-121.4443806
"Grand Terrace","City","San Bernardino",13150,12040,3.5,FALSE,"November 30, 1978",34.0339031,-117.3136544
"Grass Valley","City","Nevada",14016,12860,5.25,FALSE,"March 13, 1893",39.2190608,-121.0610606
"Greenfield","City","Monterey",18937,16330,2.91,FALSE,"January 7, 1947",36.3207998,-121.2438138
"Gridley","City","Butte",7421,6584,2.09,FALSE,"November 23, 1905",39.3637773,-121.6935833
"Grover Beach","City","San Luis Obispo",12701,13156,2.31,FALSE,"December 21, 1959",35.1216424,-120.6212821
"Guadalupe","City","Santa Barbara",8057,7080,1.31,FALSE,"August 3, 1946",34.971644,-120.5718363
"Gustine","City","Merced",6110,5520,1.55,FALSE,"November 11, 1915",37.2577171,-120.9988154
"Half Moon Bay","City","San Mateo",11795,11324,6.24,FALSE,"July 15, 1959",37.4635519,-122.4285862
"Hanford","City","Kings",57990,53967,17.4,TRUE,"August 12, 1891",36.3274502,-119.6456844
"Hawaiian Gardens","City","Los Angeles",14149,14254,0.95,FALSE,"April 9, 1964",33.8314045,-118.0728424
